feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudolysobacter	Treatment	A+ T+ P+	-0.724288394021702	0.284883302546295	130	10	0.012220317211026	0.102565899366531
X37.13_Genus	Treatment	A+ T+ P+	-0.119047530130906	0.0469847696716477	130	4	0.0125109624227606	0.104401824355451
Chitinibacter	Treatment	A- T+ P+	0.890753633364626	0.352342238192225	130	40	0.0127041631495386	0.105060968901079
NS9_marine_group_Genus	Treatment	A+ T+ P+	1.88805901649281	0.747093314687227	130	53	0.0127346628971005	0.105060968901079
Microtrichales_Genus	Treatment	A+ T+ P+	1.64914737571285	0.65371220190092	130	70	0.0128893911804925	0.105736700531498
Caulobacter	Treatment	A- T+ P+	-0.875961494900064	0.350782266756116	130	18	0.0138087450432337	0.112012836887013
Candidatus_Paracaedibacter	Treatment	A- T- P+	-0.674734577554355	0.2701862363411	130	20	0.0138039807712211	0.112012836887013
env.OPS_17_Genus	Treatment	A- T- P+	2.29986537146446	0.921876001563572	130	86	0.0138979269509222	0.112109944070772
Gammaproteobacteria_Genus	Treatment	A+ T+ P+	-1.80248065423907	0.72352924192251	130	116	0.0140301642759988	0.112551373087018
Saprospiraceae_Genus	Treatment	A+ T+ P+	-2.11995286877287	0.852950031648987	130	42	0.0142496403298586	0.113108389003363
Nocardia	Treatment	A+ T+ P+	2.13426808753479	0.858761836106816	130	99	0.0142553961347214	0.113108389003363
Hyphomicrobiales_Incertae_Sedis_Genus	Treatment	A+ T+ P+	2.12200836468575	0.855020670062994	130	103	0.0143880341157085	0.113540356173961
Cytophaga	Treatment	A+ T+ P+	-0.979520417604494	0.399815840439808	130	22	0.0156618686416697	0.122263619718841
Nordella	Treatment	A+ T+ P+	-0.455383349367432	0.185799181524698	130	10	0.015619837262836	0.122263619718841
Acetobacteroides	Treatment	A+ T+ P+	0.963183145643252	0.39363811953583	130	17	0.0157889819708252	0.122596801185231
Rhodocyclaceae_Genus	Treatment	A- T+ P+	1.29385067638849	0.531959315158945	130	55	0.0164110354770993	0.126749061238022
Bradyrhizobium	Treatment	A+ T+ P+	-1.59253039648748	0.656579338894698	130	53	0.0167047195679132	0.12833467096619
Barnesiellaceae_Genus	Treatment	A- T+ P+	-0.551869872216339	0.228175205827966	130	19	0.0170089551253656	0.129984225484373
Phreatobacter	Treatment	A- T- P+	-1.24877668137209	0.518228629016738	130	127	0.0174112157910805	0.132361703291356
Candidatus_Megaira	Treatment	A- T+ P+	1.10803419908545	0.465406318185757	130	53	0.0187735630464399	0.141975070538702
Aeromonas	Treatment	A- T+ P+	0.794597157501452	0.334059796732344	130	130	0.0188800736672783	0.142040761476104
Rhodopseudomonas	Treatment	A+ T+ P+	-0.998297878741917	0.420883156874006	130	34	0.0192103430419174	0.143780505653938
Vogesella	Treatment	A+ T+ P+	1.9166042456201	0.808931331436263	130	59	0.019340374249491	0.144011402103902
Chitinivorax	Treatment	A- T- P+	1.16612054770639	0.493718767855868	130	39	0.0197131184623225	0.146038000037205
Candidatus_Alysiosphaera	Treatment	A+ T+ P+	1.08226586592215	0.461984215348737	130	39	0.0207146626115367	0.152678630009905
Ohtaekwangia	Treatment	A+ T+ P+	0.135717507774654	0.0580553357202179	130	2	0.0209775306871895	0.15383522503939
Stella	Treatment	A- T- P+	-0.115285828003291	0.049614737708365	130	3	0.0217475464004039	0.158680589816012
Nocardia	Treatment	A- T- P+	1.7888051076662	0.772215279795524	130	99	0.0221479218458848	0.160793912601123
Agitococcus	Treatment	A- T+ P+	-1.12349137428487	0.488719815530052	130	37	0.0231603465083817	0.166479322426585
Ferruginibacter	Treatment	A- T+ P+	-0.527853703072933	0.229537569964645	130	7	0.0231138395099658	0.166479322426585
Crenobacter	Treatment	A- T- P+	-1.01741383605476	0.44628389895229	130	129	0.0243039455740306	0.173839058982722
Candidatus_Berkiella	Treatment	A- T- P+	0.934383858971576	0.411149131637414	130	33	0.0247434049173627	0.175255726536637
Ferruginibacter	Treatment	A+ T+ P+	-0.559103703072932	0.245962685167696	130	7	0.0247118261660537	0.175255726536637
Blfdi19_Genus	Treatment	A+ T+ P+	0.733425448567819	0.323997328337873	130	16	0.0253040974314502	0.178357036264397
Lutispora	Treatment	A- T- P+	-0.130716767114301	0.0579294017958746	130	3	0.025763405669129	0.18071722237476
Aeromonas	Treatment	A+ T+ P+	0.806378627885645	0.357964252316158	130	130	0.0260092805074844	0.180850744483293
Paracoccaceae_Genus	Treatment	A- T- P+	-1.11206007066369	0.493736266680835	130	126	0.0260315465544133	0.180850744483293
Actinobacteria_Genus	Treatment	A+ T+ P+	0.164488158892991	0.0734338072067111	130	3	0.0268467671133731	0.185202136534281
Stella	Treatment	A- T+ P+	-0.115285828003291	0.0514907952018023	130	3	0.0269129826506428	0.185202136534281
alphaI_cluster	Treatment	A- T+ P+	1.18947782140084	0.532406321045178	130	49	0.0272359673901653	0.186540682313774
Lactococcus	Treatment	A+ T+ P+	1.01698961063199	0.458496883035467	130	25	0.0283399605760566	0.192458657477915
Citrobacter	Treatment	A- T+ P+	0.750560095554789	0.338435373161761	130	26	0.0283651189395826	0.192458657477915
Pseudorhodoplanes	Treatment	A- T- P+	0.84930598273382	0.386178652649902	130	36	0.0296845431041614	0.199546095311307
Gemmobacter	Treatment	A+ T+ P+	-1.04237227156606	0.473797997040886	130	107	0.029627895593881	0.199546095311307
Bradyrhizobium	Treatment	A- T- P+	-1.29290025574856	0.590408861426702	130	53	0.0303773177119416	0.20326205215548
Pseudorhodoplanes	Treatment	A- T+ P+	0.874045041982798	0.400781034695493	130	36	0.0310512758554864	0.205874212521307
Hyphomonadaceae_Genus	Treatment	A+ T+ P+	-0.794365911951335	0.364078427721361	130	17	0.0309756613138381	0.205874212521307
Lutispora	Treatment	A- T+ P+	-0.130716767114301	0.0601198575626329	130	3	0.0315534406260593	0.20637655760828
Telmatocola	Treatment	A+ T+ P+	-1.456533380152	0.669820667915024	130	36	0.0315347818496735	0.20637655760828
